PROJ_NO,BLK_NO,LTH,BTH,HGT,NET_WGT,WKA_CD,DTL_ARNO_CD,MODI_WKA_DESC,WK_NM,IA_NOW_P_STG,NOW_CODE_DESC,IA_NOW_STDT,IA_NOW_FNDT,IM_NOW_FNDT,IA_NOW_SCTN_CD,IA_NOW_WKA_NM,IA_NOW_WK_CENT,IA_NOW_WK_CENT_DSC,IA_AF_BLK_NO,IA_AF_P_STG,AF_CODE_DESC,IA_AF_STDT,IA_AF_FNDT,IM_AF_STDT,IA_AF_SCTN_CD,IA_AF_WKA_NM,IA_AF_WK_CENT,IA_AF_WK_CENT_DSC,LOGI_UPLOAD_DT,LOGI_CHK_DT,LOGI_CHK_DESC,TRNS_FNDT,EXP_PRE_OUTFIT_STDT,IA_AF_STDT_HIS,PRE_OUTFIT_NOTE,TB_NM,IN_OUT_AREA,ACCUM_YN,LEN_PROJ_NO,LEN_BLK_NO,LOG_TIME,GO_OUT_CHK,CHECK_CUR_JOB,CHECK_NEXT_JOB,LOGI_BUFFER_TIME,YARD_IN_DT,CHECK_SIZE,CHECK_DAY_NIGHT,NOW_WORK,CHECK_WORK,CHECK_IN,CHECK_OUTFITTING,RANK
SN2661,A221S,8.200,16.100,4.900,55.000,UA,11,UA-11,부수이동,OP,내업의장,20240524,20240524,20240614,생산1,S1,1J95300,전략생산팀(의장그룹)의장3과,A220S,A,대조립(ASSEMBLY),20240618,20240701,,,,,,,,,20240523.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,True,2,1,21,20240618,1,0,STOCK,1,1,1,1
SN2608,D500P,8.000,5.100,2.400,5.000,OFD,01,OFD-01,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240517,20240517,20240611,생산2,3QP,1G43200,족장부족장2과,D500P,OU,올리기(BLOCK LIFT UP),20240618,20240618,20240611,생산2,3QP,1G43200,족장부족장2과,20240508,20240507,선행의장,20240522.0,,,도장입동,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,True,3,0,21,20240618,1,0,STOCK,1,1,1,2
SN2463,F81GP,15.100,8.400,5.500,0.000,RD38,08,RD38-08,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240527,20240527,20240530,생산2,3K,1G43200,족장부족장2과,F81GP,OU,올리기(BLOCK LIFT UP),20240617,20240617,20240530,생산2,3K,1G43200,족장부족장2과,20240527,20240527,도장,20240526.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,True,3,0,20,20240617,1,0,STOCK,1,1,1,3
SN2640,E22AS,9.800,3.900,4.600,9.000,UA,14,UA-14,부수이동,MP,선행중조,20240510,20240523,20240607,생산1,R2,1J92300,[가상]전략생산팀(가공그룹)조립2과,E221S,M,중조(MID ASSEMBLY),20240614,20240625,,,,,,,,,20240527.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,0,17,20240614,1,0,STOCK,1,1,1,4
SN2608,D310P,19.600,13.600,5.300,33.000,KB,05,KB-05,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240524,20240524,20240611,생산1,H,1J97200,전략생산팀(지원)족장과(삭제예정),D310P,OU,올리기(BLOCK LIFT UP),20240614,20240614,20240611,생산1,H,1J97200,전략생산팀(지원)족장과(삭제예정),20240524,20240524,도장,20240526.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,17,20240614,1,0,STOCK,1,1,1,5
SN2638,D33AS,15.500,4.600,2.200,14.000,JB,05,JB-05,부수이동,MP,선행중조,20240522,20240527,20240607,생산1,N5,1J92500,[가상]전략생산팀(가공그룹)조립3과,D331S,M,중조(MID ASSEMBLY),20240613,20240619,,,,,,,,,20240528.0,,,,TB_PRNT_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,16,20240613,1,0,STOCK,1,1,1,6
SN2631,M510S,16.600,17.200,4.300,61.000,OD,11,OD-11,부수이동,TO,SHOP OUT(검사/OUT),20240528,20240528,20240529,생산1,,,,M510S,O,선행의장(OUTFITTING),20240613,20240711,20240529,생산1,,,,,,,20240528.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,2,16,20240613,1,0,STOCK,1,1,1,7
SN2631,M510P,16.600,17.300,4.300,65.000,OD,12,OD-12,부수이동,TO,SHOP OUT(검사/OUT),20240517,20240517,20240529,생산1,,,,M510P,O,선행의장(OUTFITTING),20240613,20240711,20240529,생산1,,,,,,,20240519.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,2,16,20240613,1,0,STOCK,1,1,1,8
SN2654,H110P,15.700,10.200,4.000,33.000,OB,12,OB-12,부수이동,TO,SHOP OUT(검사/OUT),20240523,20240523,20240527,생산1,,,,H110P,OU,올리기(BLOCK LIFT UP),20240612,20240612,20240527,생산1,,,,,,,20240527.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,15,20240612,1,0,STOCK,1,1,1,9
SN2608,D500S,8.000,5.100,2.400,5.000,OFD,01,OFD-01,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240517,20240517,20240611,생산2,3K,1G43200,족장부족장2과,D500S,OU,올리기(BLOCK LIFT UP),20240612,20240612,20240611,생산2,3K,1G43200,족장부족장2과,20240508,20240507,선행의장,20240522.0,,,도장입동,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,15,20240612,1,0,STOCK,1,1,1,10
SN2599,E360C,10.100,5.000,1.800,8.000,2P1,11,2P1-11,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240523,20240523,20240603,생산2,3K,1G43200,족장부족장2과,E360C,OU,올리기(BLOCK LIFT UP),20240612,20240612,20240603,생산2,3K,1G43200,족장부족장2과,20240514,20240514,선행의장,20240522.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,15,20240612,1,0,STOCK,1,1,1,11
SN2599,B15GS,15.000,23.300,8.300,0.000,OC,04,OC-04,부수이동,TG,PE 족장설치(PE STAGING),20240528,20240528,20240524,생산1,OC,1G43200,족장부족장2과,B15GS,TH,PE 족장해체(PE DESTAGING),20240612,20240612,20240524,생산1,OC,1G43200,족장부족장2과,,,,20240527.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,15,20240612,1,0,STOCK,1,1,1,12
SN2591,W820S,4.000,19.000,0.500,19.000,UC,09,UC-09,부수이동,OP,내업의장,20240523,20240528,20240611,생산1,UA,1J95300,전략생산팀(의장그룹)의장3과,W820S,TP,도장 족장설치(PNT STAGING),20240613,20240613,20240607,생산1,UA,1J95300,전략생산팀(의장그룹)의장3과,,,,20240524.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,2,3,15,20240612,1,0,STOCK,1,1,1,13
SN2661,D31DS,4.900,9.000,3.100,11.000,OFD,01,OFD-01,부수이동,MP,선행중조,20240522,20240527,20240528,생산2,55A,1J46100,조립부조립1과,D311S,M,중조(MID ASSEMBLY),20240611,20240618,,,,,,,,,20240528.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,0,14,20240611,1,0,STOCK,1,1,1,14
SN2637,G310C,2.700,6.100,1.700,4.000,3O,04,3O-04,부수이동,OP,내업의장,20240524,20240527,20240529,생산2,3J,1G58200,선행의장부선행의장1과,G310C,TP,도장 족장설치(PNT STAGING),20240612,20240612,20240528,생산2,3J,1G58200,선행의장부선행의장1과,,,,20240525.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,2,3,14,20240611,1,0,STOCK,1,1,1,15
SN2466,E12GC,16.100,25.000,8.400,0.000,2P2,12,2P2-12,PE착수,TG,PE 족장설치(PE STAGING),20240528,20240528,20240524,생산3,F7Q,1G43200,족장부족장2과,E12GC,TH,PE 족장해체(PE DESTAGING),20240611,20240611,20240524,생산3,F7Q,1G43200,족장부족장2과,,,,20240527.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,14,20240611,1,0,STOCK,1,1,1,16
SN2463,D29GC,15.700,46.100,4.400,0.000,8QB,06,8QB-06,부수이동,TH,PE 족장해체(PE DESTAGING),20240524,20240524,20240520,생산2,8Q,1G43200,족장부족장2과,D29GC,OU,올리기(BLOCK LIFT UP),20240611,20240611,20240520,생산2,8Q,1G43200,족장부족장2과,,,,20240503.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,14,20240611,1,0,STOCK,1,1,1,17
SN2654,S121S,15.000,14.700,2.600,61.000,OA,07,OA-07,조립OUT,M,중조(MID ASSEMBLY),20240517,20240521,20240529,생산1,N1,1J92500,[가상]전략생산팀(가공그룹)조립3과,S120S,A,대조립(ASSEMBLY),20240610,20240624,,,,,,,,,20240522.0,,,,TB_PRNT_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,1,13,20240610,1,0,STOCK,1,1,1,18
SN2634,F310S,14.800,11.500,8.200,10.000,3H,07,3H-07,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240528,20240528,20240607,생산2,3K,1G43200,족장부족장2과,F310S,R,TURN OVER,20240610,20240610,20240607,생산2,3K,1G43200,족장부족장2과,20240528,20240528,도장,20240524.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,13,20240610,1,0,STOCK,1,1,1,19
SN2634,F310P,14.800,11.500,8.200,10.000,GA,07,GA-07,선행도장이동,TQ,도장 족장해체(PNT DESTAGING),20240522,20240522,20240607,생산2,3K,1G43200,족장부족장2과,F310P,R,TURN OVER,20240610,20240610,20240607,생산2,3K,1G43200,족장부족장2과,20240522,20240522,도장,20240521.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,3,0,13,20240610,1,0,STOCK,1,1,1,20
SN2616,E650C,15.000,14.500,2.000,57.000,FB,01,FB-01,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240524,20240524,20240607,생산1,H,1J97200,전략생산팀(지원)족장과(삭제예정),E650C,OD,"도장 후 의장(32,42)",20240611,20240612,20240607,생산1,H,1J97200,전략생산팀(지원)족장과(삭제예정),20240524,20240524,도장,20240526.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,3,3,13,20240610,1,0,STOCK,1,1,1,21
SN2616,E570P,0.000,0.000,0.000,29.000,OB,15,OB-15,조립OUT,A,대조립(ASSEMBLY),20240517,20240523,20240530,생산1,N2,1J92300,[가상]전략생산팀(가공그룹)조립2과,E570P,O,선행의장(OUTFITTING),20240610,20240619,20240524,생산1,N2,1J92300,[가상]전략생산팀(가공그룹)조립2과,,,,20240523.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,1,2,13,20240610,1,0,STOCK,1,1,1,22
SN2616,E550C,10.300,12.500,7.200,23.000,RD38,06,RD38-06,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240527,20240527,20240531,생산2,3K,1G43200,족장부족장2과,E550C,R,TURN OVER,20240610,20240610,20240531,생산2,3K,1G43200,족장부족장2과,20240527,20240527,도장,20240526.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,13,20240610,1,0,STOCK,1,1,1,23
SN2616,A21GC,16.800,40.800,7.200,0.000,8QC,14,8QC-14,PE착수,G,PE(PRE-ERECTION),20240507,20240528,20240521,생산2,8Q,1J56200,건조1부건조1과,A21GC,OU,올리기(BLOCK LIFT UP),20240610,20240610,20240426,생산2,8Q,1J56200,건조1부건조1과,,,,20240507.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,13,20240610,1,0,STOCK,1,1,1,24
SN2464,D290P,16.000,24.100,4.300,59.000,RD38,07,RD38-07,선행도장이동,TQ,도장 족장해체(PNT DESTAGING),20240527,20240527,20240604,생산1,H,1J97200,전략생산팀(지원)족장과(삭제예정),D290P,OU,올리기(BLOCK LIFT UP),20240610,20240610,20240604,생산1,H,1J97200,전략생산팀(지원)족장과(삭제예정),20240527,20240527,도장,20240526.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,13,20240610,1,0,STOCK,1,1,1,25
SN2654,H311S,15.500,14.300,4.300,77.000,DB,02,DB-02,조립OUT,M,중조(MID ASSEMBLY),20240517,20240527,20240528,생산1,N1,1J92500,[가상]전략생산팀(가공그룹)조립3과,H310S,A,대조립(ASSEMBLY),20240607,20240626,,,,,,,,,20240527.0,,,,TB_PRNT_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,1,10,20240607,1,0,STOCK,1,1,1,26
SN2639,E116S,7.300,3.300,2.400,9.000,OFD,01,OFD-01,부수이동,M,중조(MID ASSEMBLY),20240522,20240528,20240531,생산2,55A,1J46100,조립부조립1과,E110S,A,대조립(ASSEMBLY),20240607,20240627,,,,,,,,,20240528.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,1,10,20240607,1,0,STOCK,1,1,1,27
SN2634,F230C,9.800,8.200,4.600,6.000,3R43,10,3R43-10,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240528,20240528,20240603,생산2,3K,1G43200,족장부족장2과,F230C,R,TURN OVER,20240607,20240607,20240603,생산2,3K,1G43200,족장부족장2과,20240528,20240528,도장,20240527.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,10,20240607,1,0,STOCK,1,1,1,28
SN2634,F220C,13.300,17.200,4.600,26.000,DB,03,DB-03,선행도장이동,TQ,도장 족장해체(PNT DESTAGING),20240524,20240524,20240531,생산1,H,1J97200,전략생산팀(지원)족장과(삭제예정),F220C,OU,올리기(BLOCK LIFT UP),20240607,20240607,20240531,생산1,H,1J97200,전략생산팀(지원)족장과(삭제예정),20240524,20240524,도장,20240523.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,3,0,10,20240607,1,0,STOCK,1,1,1,29
SN2631,E332S,14.800,4.800,2.200,13.000,VB,08,VB-08,부수이동,M,중조(MID ASSEMBLY),20240510,20240517,20240529,생산1,N5,1J92500,[가상]전략생산팀(가공그룹)조립3과,E330S,A,대조립(ASSEMBLY),20240607,20240618,,,,,,,,,20240527.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,1,10,20240607,1,0,STOCK,1,1,1,30
SN2616,S090S,14.500,11.400,3.100,15.000,OB,13,OB-13,부수이동,A,대조립(ASSEMBLY),20240517,20240524,20240529,생산1,C2,1J92300,[가상]전략생산팀(가공그룹)조립2과,S090S,OU,올리기(BLOCK LIFT UP),20240607,20240607,20240520,생산1,C2,1J92300,[가상]전략생산팀(가공그룹)조립2과,,,,20240525.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,1,0,10,20240607,1,0,STOCK,1,1,1,31
SN2616,S090P,14.500,11.400,3.100,15.000,OD,02,OD-02,부수이동,A,대조립(ASSEMBLY),20240509,20240524,20240530,생산1,C2,1J92300,[가상]전략생산팀(가공그룹)조립2과,S090P,OU,올리기(BLOCK LIFT UP),20240607,20240607,20240521,생산1,C2,1J92300,[가상]전략생산팀(가공그룹)조립2과,,,,20240527.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,1,0,10,20240607,1,0,STOCK,1,1,1,32
SN2599,D41AS,15.200,4.400,2.200,14.000,NA,09,NA-09,부수이동,MP,선행중조,20240513,20240523,20240531,생산1,N5,1J92500,[가상]전략생산팀(가공그룹)조립3과,D411S,M,중조(MID ASSEMBLY),20240607,20240612,,,,,,,,,20240523.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,0,10,20240607,1,0,STOCK,1,1,1,33
SN2591,S40GS,29.000,15.200,7.900,0.000,BC,02,BC-02,부수이동,G,PE(PRE-ERECTION),20240514,20240528,20240530,생산1,B,1J93100,전략생산팀(건조그룹)건조1과,S40GS,E,탑재(ERECTION),20240607,20240607,20240517,생산1,B,1J93100,전략생산팀(건조그룹)건조1과,,,,20240516.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,10,20240607,1,0,STOCK,1,1,1,34
SN2591,S40GP,29.000,15.200,7.900,0.000,BB,02,BB-02,부수이동,G,PE(PRE-ERECTION),20240514,20240528,20240530,생산1,B,1J93100,전략생산팀(건조그룹)건조1과,S40GP,E,탑재(ERECTION),20240607,20240607,20240517,생산1,B,1J93100,전략생산팀(건조그룹)건조1과,,,,20240516.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,10,20240607,1,0,STOCK,1,1,1,35
SN2466,D194S,7.600,4.800,2.300,8.000,PS3,12,PS3-12,부수이동,M,중조(MID ASSEMBLY),20240522,20240528,20240531,생산3,FH1,1L73200,조립부조립4과,D190S,A,대조립(ASSEMBLY),20240607,20240620,,,,,,,,,20240527.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,1,10,20240607,1,0,STOCK,1,1,1,36
SN2463,C820P,1.400,19.300,1.800,9.000,PS3,11,PS3-11,사외IN,TQ,도장 족장해체(PNT DESTAGING),20240513,20240513,20240509,생산2,3K,1G43200,족장부족장2과,C820P,OU,올리기(BLOCK LIFT UP),20240607,20240607,20240509,생산2,3K,1G43200,족장부족장2과,20240513,20240513,도장,20240528.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,10,20240607,1,0,STOCK,1,1,1,37
SN2661,H160S,20.200,10.100,7.900,46.000,PS4,05,PS4-05,부수이동,OP,내업의장,20240527,20240527,20240530,생산2,3J,1G58200,선행의장부선행의장1과,H160S,OU,올리기(BLOCK LIFT UP),20240605,20240605,20240527,생산2,3J,1G58200,선행의장부선행의장1과,,,,20240527.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,2,0,8,20240605,1,0,STOCK,1,1,1,38
SN2661,H160P,20.200,10.100,7.900,46.000,PS4,04,PS4-04,조립OUT,OP,내업의장,20240527,20240527,20240530,생산2,3J,1G58200,선행의장부선행의장1과,H160P,OU,올리기(BLOCK LIFT UP),20240605,20240605,20240527,생산2,3J,1G58200,선행의장부선행의장1과,,,,20240525.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,2,0,8,20240605,1,0,STOCK,1,1,1,39
SN2661,B150S,20.000,21.400,3.800,58.000,3K,06,3K-06,부수이동,OP,내업의장,20240527,20240527,20240530,생산2,3J,1G58200,선행의장부선행의장1과,B150S,OU,올리기(BLOCK LIFT UP),20240605,20240605,20240527,생산2,3J,1G58200,선행의장부선행의장1과,,,,20240527.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,2,0,8,20240605,1,0,STOCK,1,1,1,40
SN2637,E510P,20.800,13.600,5.200,51.000,OB,11,OB-11,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240520,20240520,20240605,생산2,3K,1G43200,족장부족장2과,E510P,OT,계장 TUBING,20240605,20240605,20240605,생산2,3K,1G43200,족장부족장2과,,,,20240528.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,3,0,8,20240605,1,0,STOCK,1,1,1,41
SN2634,F210P,14.700,11.000,4.500,8.000,HB,11,HB-11,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240521,20240521,20240603,생산2,3K,1G43200,족장부족장2과,F210P,OU,올리기(BLOCK LIFT UP),20240605,20240605,20240603,생산2,3K,1G43200,족장부족장2과,,,,20240528.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,8,20240605,1,0,STOCK,1,1,1,42
SN2628,E424S,18.000,10.000,5.400,39.000,OFD,01,OFD-01,부수이동,M,중조(MID ASSEMBLY),20240513,20240522,20240530,생산2,55A,1J46100,조립부조립1과,E420S,A,대조립(ASSEMBLY),20240605,20240625,,,,,,,,,20240528.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,1,8,20240605,1,0,STOCK,1,1,1,43
SN2610,E332S,14.800,4.800,2.200,13.000,UA,15,UA-15,부수이동,M,중조(MID ASSEMBLY),20240514,20240522,20240529,생산1,N5,1J92500,[가상]전략생산팀(가공그룹)조립3과,E330S,A,대조립(ASSEMBLY),20240605,20240617,,,,,,,,,20240523.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,1,8,20240605,1,0,STOCK,1,1,1,44
SN2609,E380C,3.600,18.800,3.500,14.000,PS3,08,PS3-08,부수이동,TO,SHOP OUT(검사/OUT),20240527,20240527,20240605,생산2,,,,E380C,O,선행의장(OUTFITTING),20240605,20240612,20240605,생산2,,,,,,,20240527.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,2,8,20240605,1,0,STOCK,1,1,1,45
SN2607,Y710C,0.000,0.000,0.000,6.000,RD100,01,RD100-01,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240513,20240513,20240509,생산3,FPS,1G43200,족장부족장2과,Y710C,OU,올리기(BLOCK LIFT UP),20240605,20240605,20240509,생산3,FPS,1G43200,족장부족장2과,,,,20240516.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,3,0,8,20240605,1,0,STOCK,1,1,1,46
SN2591,S080P,14.800,11.400,5.600,16.000,GA,09,GA-09,선행도장이동,OT,계장 TUBING,20240522,20240522,20240514,생산1,,,,S080P,E,탑재(ERECTION),20240605,20240605,20240514,생산1,,,,20240522,20240522,도장,20240521.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,8,20240605,1,0,STOCK,1,1,1,47
SN2464,D190S,15.800,16.000,5.100,64.000,3R35,04,3R35-04,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240527,20240527,20240531,생산2,3K,1G43200,족장부족장2과,D190S,OU,올리기(BLOCK LIFT UP),20240605,20240605,20240531,생산2,3K,1G43200,족장부족장2과,20240514,20240514,선행의장,20240528.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,3,0,8,20240605,1,0,STOCK,1,1,1,48
SN2464,D190P,15.800,22.800,5.100,94.000,HA,01,HA-01,선행도장이동,TQ,도장 족장해체(PNT DESTAGING),20240527,20240527,20240531,생산2,3K,1G43200,족장부족장2과,D190P,OU,올리기(BLOCK LIFT UP),20240605,20240605,20240531,생산2,3K,1G43200,족장부족장2과,20240527,20240527,도장,20240526.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,8,20240605,1,0,STOCK,1,1,1,49
SN2463,D19GC,15.700,38.300,4.800,0.000,8QB,11,8QB-11,블록적재,TH,PE 족장해체(PE DESTAGING),20240521,20240521,20240513,생산2,8Q,1G43200,족장부족장2과,D19GC,OU,올리기(BLOCK LIFT UP),20240605,20240605,20240513,생산2,8Q,1G43200,족장부족장2과,,,,20240528.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,8,20240605,1,0,STOCK,1,1,1,50
SN2637,E230P,17.000,12.400,4.300,27.000,KA,04,KA-04,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240520,20240520,20240527,생산2,3K,1G43200,족장부족장2과,E230P,R,TURN OVER,20240604,20240604,20240527,생산2,3K,1G43200,족장부족장2과,20240521,20240521,도장,20240527.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,7,20240604,1,0,STOCK,1,1,1,51
SN2637,D723S,22.000,6.700,2.000,19.000,OFD,01,OFD-01,부수이동,OP,내업의장,20240523,20240528,20240522,생산2,3J,1G58200,선행의장부선행의장1과,D720S,S,소조립(SUB ASSEMBLY),20240604,20240607,20240624,생산2,HN,1H92500,선행의장부신한내의장과,,,,20240523.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,2,1,7,20240604,1,0,STOCK,1,1,1,52
SN2637,D351S,15.500,14.400,4.600,39.000,3I,03,3I-03,부수이동,OP,내업의장,20240520,20240528,20240527,생산2,3I,1G58500,선행의장부선행의장2과,D350S,A,대조립(ASSEMBLY),20240604,20240612,20240624,생산2,3I,1G58500,선행의장부선행의장2과,20240528,20240528,선행의장,20240527.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,2,1,7,20240604,1,0,STOCK,1,1,1,53
SN2634,D400S,20.000,13.500,4.400,32.000,3L,08,3L-08,부수이동,A,대조립(ASSEMBLY),20240520,20240527,20240527,생산2,52B,1H46200,판넬조립부대조립과,D400S,OP,내업의장,20240612,20240618,20240520,생산2,52B,1H46200,판넬조립부대조립과,20240527,20240527,조립,20240527.0,20240604,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,1,2,7,20240604,1,0,STOCK,1,1,1,54
SN2631,E240C,15.000,20.900,4.000,69.000,OD,32,OD-32,조립OUT,A,대조립(ASSEMBLY),20240510,20240522,20240524,생산1,N3,1J92200,[가상]전략생산팀(가공그룹)조립1과,E240C,O,선행의장(OUTFITTING),20240604,20240624,20240514,생산1,N3,1J92200,[가상]전략생산팀(가공그룹)조립1과,,,,20240523.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,1,2,7,20240604,1,0,STOCK,1,1,1,55
SN2599,D723S,16.500,6.800,1.000,8.000,OFD,01,OFD-01,부수이동,OP,내업의장,20240520,20240523,20240524,생산2,3J,1G58200,선행의장부선행의장1과,D720S,S,소조립(SUB ASSEMBLY),20240604,20240607,20240619,생산2,HN,1H92500,선행의장부신한내의장과,20240528,20240525,선행의장,20240518.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,2,1,7,20240604,1,0,STOCK,1,1,1,56
SN2599,D721S,17.800,6.400,1.000,13.000,OFD,01,OFD-01,부수이동,OP,내업의장,20240521,20240524,20240524,생산2,3J,1G58200,선행의장부선행의장1과,D720S,S,소조립(SUB ASSEMBLY),20240604,20240607,20240619,생산2,HN,1H92500,선행의장부신한내의장과,20240528,20240525,선행의장,20240518.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,2,1,7,20240604,1,0,STOCK,1,1,1,57
