,vessel_id,block,length,width,height,weight,location
304, SN2455, M900S,11.0,8.0,5.8,4.0,사내
515, SN2614, S720P,15.0,15.0,2.8,25.0,사내
234, SN2614, F730P,15.0,11.0,4.4,25.0,사내
410, SN2614, A110C,13.0,11.0,11.5,30.0,사내
547, SN2456, D292P,13.0,11.0,2.0,7.0,사내
435, SN2456, E373P,12.0,11.0,1.0,10.0,사내
480, SN2598, Y900S,11.0,9.0,2.4,23.0,사내
330, SN2455, F120C,11.0,9.0,3.6,4.0,사내
245, SN2601, A110S,11.0,6.0,10.5,16.0,사내
312, SN2455, M320S,12.0,11.0,4.4,17.0,사내
253, SN2598, H150S,15.0,11.0,8.2,14.0,사내
235, SN2614, S380S,15.0,14.0,3.1,19.0,사내
484, SN2614, F631S,12.0,12.0,4.0,24.0,사내
216, SN2615, D360S,15.0,11.0,5.5,35.0,사내
572, SN2457, D291S,11.0,10.0,2.0,4.0,사내
263, SN2598, D331P,16.0,14.0,4.0,39.0,사내
71, SN2598, T120S,21.0,11.0,3.0,22.0,사내
3, SN2597, D400P,20.0,14.0,4.4,32.0,사내
292, SN2603, E410S,21.0,16.0,5.7,58.0,사내
388, SN2601, B121P,20.0,16.0,3.2,109.0,사내
