,vessel_id,block,length,width,height,weight,location
33, SN2456, D291S,11.0,10.0,2.0,4.0,사내
102, SN2611, T140P,15.0,14.0,2.9,33.0,사내
253, SN2598, H150S,15.0,11.0,8.2,14.0,사내
270, SN2608, E32AP,11.0,8.0,3.8,10.0,사내
238, SN2463, A21AS,11.0,8.0,2.6,9.0,사내
237, SN2456, E373S,14.0,11.0,2.6,15.0,사내
531, SN2590, F300C,11.0,9.0,3.0,10.0,사내
553, SN2590, E510S,14.0,12.0,7.1,31.0,사내
595, SN2597, F310S,15.0,12.0,8.2,10.0,사내
516, SN2615, E61AP,11.0,10.0,2.0,7.0,사내
406, SN2607, E521P,12.0,11.0,2.6,11.0,사내
457, SN2607, A110P,11.0,7.0,10.7,18.0,사내
473, SN2614, S390S,15.0,14.0,5.2,18.0,사내
220, SN2614, F520P,13.0,11.0,5.2,11.0,사내
142, SN2603, T110S,15.0,15.0,2.7,86.0,사내
121, SN2463, D39AP,21.0,11.0,2.0,16.0,사내
181, SN2601, D520S,22.0,11.0,6.9,35.0,사내
1, SN2615, E420S,18.0,15.0,5.5,43.0,사내
501, SN2611, E230P,17.0,13.0,4.7,28.0,사내
318, SN2627, S100P,20.0,12.0,3.3,41.0,사내
